RW01 553511.63N 0371527.39E
RW06 553511.23N 0371419.19E
RW19 553642.44N 0371636.78E
RW24 553552.98N 0371724.93E
WW014 552815.50N 0371858.30E
WW016 552505.11N 0371058.85E
WW017 554039.30N 0371938.81E
WW018 553915.77N 0372519.97E
WW019 553426.75N 0372929.75E
WW058 552211.20N 0371620.10E
WW063 553722.21N 0372403.40E
WW150 553122.70N 0371232.80E
WW151 553124.96N 0371234.52E
WW152 553710.40N 0371658.10E
WW187 553055.20N 0372526.40E
WW188 553804.24N 0372720.79E
WW191 553246.40N 0371207.90E
WW192 552906.30N 0370703.40E
WW238 553026.50N 0372742.90E
WW239 553531.10N 0373010.50E
WW240 553253.60N 0370845.90E
WW241 553832.60N 0372803.60E
WW306 551115.00N 0365034.00E
WW450 553700.30N 0372225.40E
WW451 553659.54N 0372221.97E
WW452 553446.10N 0371227.70E
WW500 552939.30N 0370406.50E
WW501 553226.20N 0370208.90E
WW502 553339.30N 0370731.90E
WW503 554233.50N 0372105.90E
WW504 554140.60N 0372444.20E
WW505 552929.80N 0370353.50E
WW506 553338.54N 0370728.39E
WW652 553621.70N 0371933.50E
WW950 553939.30N 0371852.20E
WW951 553937.89N 0371851.10E
WW952 553356.20N 0371429.90E
ABVIV 553431.00N 0382710.00E
AFISA 553817.80N 0372814.00E
AGMER 562609.40N 0371307.10E
AMRED 553241.50N 0370314.60E
ASLEK 553542.80N 0365950.90E
BABUT 550242.90N 0380106.80E
BEGEZ 561313.00N 0363722.00E
BEKIP 563500.00N 0363908.00E
BEMAS 551252.03N 0373221.31E
BILRU 552322.00N 0353430.00E
BINPI 555540.60N 0391804.30E
BITSA 553400.00N 0373653.00E
BOPPE 552932.00N 0375650.00E
BUPOS 552421.00N 0365950.90E
DEFAL 555443.60N 0364528.70E
DIMGI 554740.00N 0394840.00E
DUFAR 555937.70N 0365408.60E
DUZEV 554150.00N 0382732.00E
EMGAS 542728.00N 0375019.00E
ENMUR 553310.00N 0373419.00E
FAMLA 561746.90N 0370704.60E
FEGRA 543658.00N 0384723.90E
FIDOT 551300.00N 0372153.00E
FOBUL 552617.60N 0370841.40E
GEKLA 553900.00N 0375205.00E
GIGUN 554407.00N 0365729.90E
GORNA 563742.90N 0375006.10E
ITVIN 554546.00N 0362901.00E
KANEN 553646.10N 0372150.50E
KENEP 553833.60N 0371200.70E
KIBUR 552744.46N 0373306.02E
KOGOM 555933.00N 0394004.00E
KOMNI 562337.70N 0372407.70E
KORFI 553745.60N 0383656.70E
LAZIT 543914.50N 0374934.00E
LEKDO 543653.00N 0371540.00E
LERTE 551552.00N 0363714.00E
LIFAS 551000.00N 0374753.00E
LIKNI 553833.80N 0370134.30E
LILGA 544938.10N 0364253.10E
LOGPU 554255.00N 0384149.00E
MEFED 554400.90N 0385557.00E
MEZER 550654.70N 0370301.70E
NALFI 550224.30N 0371040.50E
A 550910.00N 0381719.00E
D 551240.00N 0372152.00E
LO 552104.00N 0373137.00E
W 553520.00N 0374709.00E
NIDOL 545850.30N 0364932.30E
NUKDI 552059.80N 0355456.50E
NUZOR 554903.80N 0365342.80E
ODNEL 555609.20N 0365550.80E
OFIRA 545952.50N 0374336.10E
OKPEN 544355.50N 0382807.20E
OLMUN 560439.00N 0393303.00E
OLOPI 541400.00N 0385353.00E
OMEZA 544546.70N 0383813.70E
ORSIF 551605.00N 0365816.00E
OSGAK 564130.60N 0375649.20E
OTSUR 554044.20N 0381319.50E
OZLER 545513.89N 0372051.60E
PIZUR 551300.00N 0365953.00E
POKAG 553756.00N 0353301.00E
POZUK 545102.90N 0382156.20E
PREKI 551742.80N 0362249.70E
PUFIK 555008.20N 0364441.10E
RAFNI 551818.40N 0365950.90E
RAMZA 550037.10N 0372110.10E
REBRI 553253.60N 0370134.60E
REKRO 544532.00N 0372022.70E
REMLI 552150.00N 0373247.70E
RIFMA 542928.70N 0384039.20E
RILPO 565220.00N 0381614.00E
RIREN 545330.80N 0374615.20E
RIZNO 560519.30N 0363045.80E
ROLAZ 555209.70N 0362714.50E
ROMTA 570628.00N 0374243.00E
RONEZ 550319.60N 0371138.80E
RORUK 551858.90N 0372213.90E
SIDAZ 550629.00N 0371904.00E
SODLE 551847.90N 0370654.70E
SOMAG 551627.20N 0373939.90E
SORUK 561825.40N 0364618.00E
SOTOG 544400.00N 0363853.00E
SUBOD 563208.90N 0371716.00E
SUNUN 560857.00N 0360728.00E
SURZA 550615.90N 0375440.00E
TADUT 551300.80N 0370148.30E
TAFAZ 561508.00N 0371731.00E
TAZOL 564009.10N 0372319.30E
TEBDI 550311.80N 0373144.10E
TEPTA 550141.70N 0372113.80E
TIRDE 560708.00N 0370254.20E
TITAP 550802.20N 0365614.50E
TOGMO 542318.00N 0390131.00E
TOLKE 550726.50N 0370439.90E
TOSLA 551911.80N 0381029.00E
UDZOK 555056.00N 0390900.00E
UKABE 550215.70N 0373240.20E
ULKEK 553034.60N 0372127.50E
UNRUM 553652.80N 0380842.50E
VIVZO 554601.00N 0392403.00E
TEST1 555742.00N 0393243.00E
TEST2 553930.00N 0393736.00E
TEST3 553511.00N 0391716.00E
TEST4 554921.00N 0384504.00E
TEST5 552923.00N 0385104.00E
TEST6 554715.00N 0381428.00E
TEST7 554515.00N 0381428.00E
TEST8 554315.00N 0381428.00E
TEST9 553715.00N 0381428.00E
TEST10 552715.00N 0381428.00E
TEST11 551715.00N 0381428.00E
TEST12 549115.00N 0381428.00E
TEST13 548315.00N 0381428.00E
